EXP:[1] embed_dim=1, n_conv=1, conv_dims=(1, 1, 1), l=(0.001, 0.0001) achieved accuracy:48.94433781190019
EXP:[2] embed_dim=1, n_conv=1, conv_dims=(1, 1, 1), l=(0.0001, 0.001) achieved accuracy:50.09596928982725
EXP:[3] embed_dim=1, n_conv=1, conv_dims=(1, 1, 1), l=(0.001, 0.001) achieved accuracy:48.75239923224568
EXP:[4] embed_dim=1, n_conv=1, conv_dims=(1, 1, 1), l=(0.0001, 0.0001) achieved accuracy:46.449136276391556
EXP:[5] embed_dim=1, n_conv=1, conv_dims=(2, 2, 2), l=(0.001, 0.0001) achieved accuracy:46.257197696737045
EXP:[6] embed_dim=1, n_conv=1, conv_dims=(2, 2, 2), l=(0.0001, 0.001) achieved accuracy:46.257197696737045
EXP:[7] embed_dim=1, n_conv=1, conv_dims=(2, 2, 2), l=(0.001, 0.001) achieved accuracy:47.02495201535508
EXP:[8] embed_dim=1, n_conv=1, conv_dims=(2, 2, 2), l=(0.0001, 0.0001) achieved accuracy:49.90403071017275
EXP:[9] embed_dim=1, n_conv=1, conv_dims=(2, 4, 2), l=(0.001, 0.0001) achieved accuracy:50.8637236084453
EXP:[10] embed_dim=1, n_conv=1, conv_dims=(2, 4, 2), l=(0.0001, 0.001) achieved accuracy:47.216890595009595
EXP:[11] embed_dim=1, n_conv=1, conv_dims=(2, 4, 2), l=(0.001, 0.001) achieved accuracy:44.145873320537426
EXP:[12] embed_dim=1, n_conv=1, conv_dims=(2, 4, 2), l=(0.0001, 0.0001) achieved accuracy:45.87332053742802
EXP:[13] embed_dim=1, n_conv=1, conv_dims=(4, 4, 4), l=(0.001, 0.0001) achieved accuracy:48.56046065259117
EXP:[14] embed_dim=1, n_conv=1, conv_dims=(4, 4, 4), l=(0.0001, 0.001) achieved accuracy:49.712092130518236
EXP:[15] embed_dim=1, n_conv=1, conv_dims=(4, 4, 4), l=(0.001, 0.001) achieved accuracy:50.09596928982725
EXP:[16] embed_dim=1, n_conv=1, conv_dims=(4, 4, 4), l=(0.0001, 0.0001) achieved accuracy:45.489443378119
EXP:[17] embed_dim=1, n_conv=2, conv_dims=(1, 1, 1), l=(0.001, 0.0001) achieved accuracy:48.17658349328215
EXP:[18] embed_dim=1, n_conv=2, conv_dims=(1, 1, 1), l=(0.0001, 0.001) achieved accuracy:46.449136276391556
